"Retardation,""Distrust"",""Illness"""
2.80,6.1,44
3.10,5.1,25
2.59,6.0,10
3.36,6.9,28
2.80,7.0,25
3.35,5.6,72
2.99,6.3,45
2.99,7.2,25
2.92,6.9,12
3.23,6.5,24
3.37,6.8,46
2.72,6.6,8
3.47,8.4,15
2.70,5.9,28
3.24,6.0,26
2.65,6.0,27
3.41,7.6,4
2.58,6.2,14
2.81,6.0,21
2.80,6.4,22
3.62,6.8,60
2.74,8.4,10
3.27,6.7,60
3.78,8.3,12
2.90,5.6,28
3.70,7.3,39
3.40,7.0,14
2.63,6.9,8
2.65,5.8,11
3.26,7.2,7
3.15,6.5,23
2.60,6.3,16
2.74,6.8,26
2.72,5.9,8
3.11,6.8,11
2.79,6.7,12
2.90,6.7,50
2.74,5.5,9
2.70,6.9,13
3.08,6.3,22
2.18,6.1,23
2.88,5.8,31
3.04,6.8,20
3.32,7.3,66
2.80,5.9,9
3.29,6.8,12
3.56,8.8,21
2.74,7.1,13
3.06,6.9,10
2.54,6.7,4
2.78,7.2,18
2.81,5.2,10
3.26,6.6,7
